Date,Description,Amount
2024-08-27,"PAYMENT AMEX",-603.26
2024-09-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2024-09-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2024-09-02,"BRIGHT HORIZONS CHILDCARE",-1133.50
2024-09-03,"SCHNUCKS ST LOUIS",-226.49
2024-09-05,"AMEREN MISSOURI",-211.09
2024-09-06,"SPIRE ENERGY",-60.21
2024-09-07,"MSD WATER SEWER",-87.49
2024-09-08,"AT&T INTERNET",-85.00
2024-09-09,"T-MOBILE",-105.00
2024-09-10,"SCHNUCKS ST LOUIS",-160.13
2024-09-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2024-09-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2024-09-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2024-09-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2024-09-17,"SCHNUCKS ST LOUIS",-175.99
2024-09-24,"SCHNUCKS ST LOUIS",-205.81
2024-09-27,"PAYMENT VISA",-716.29
2024-09-27,"PAYMENT AMEX",-370.97
2024-10-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2024-10-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2024-10-02,"BRIGHT HORIZONS CHILDCARE",-1162.40
2024-10-03,"SCHNUCKS ST LOUIS",-164.12
2024-10-05,"AMEREN MISSOURI",-144.94
2024-10-06,"SPIRE ENERGY",-62.28
2024-10-07,"MSD WATER SEWER",-94.88
2024-10-08,"AT&T INTERNET",-85.00
2024-10-09,"T-MOBILE",-105.00
2024-10-10,"SCHNUCKS ST LOUIS",-206.02
2024-10-13,"UPWORK ESCROW",333.68
2024-10-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2024-10-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2024-10-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2024-10-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2024-10-17,"SCHNUCKS ST LOUIS",-236.79
2024-10-24,"SCHNUCKS ST LOUIS",-178.97
2024-10-27,"PAYMENT VISA",-502.37
2024-10-27,"PAYMENT AMEX",-609.44
2024-11-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2024-11-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2024-11-02,"BRIGHT HORIZONS CHILDCARE",-1130.35
2024-11-03,"SCHNUCKS ST LOUIS",-258.91
2024-11-05,"AMEREN MISSOURI",-145.81
2024-11-06,"SPIRE ENERGY",-170.32
2024-11-07,"MSD WATER SEWER",-102.26
2024-11-08,"AT&T INTERNET",-85.00
2024-11-09,"T-MOBILE",-105.00
2024-11-10,"SCHNUCKS ST LOUIS",-248.28
2024-11-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2024-11-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2024-11-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2024-11-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2024-11-17,"SCHNUCKS ST LOUIS",-172.36
2024-11-21,"DOBBS AUTO REPAIR",-1640.00
2024-11-24,"SCHNUCKS ST LOUIS",-158.45
2024-11-27,"PAYMENT VISA",-481.80
2024-11-27,"PAYMENT AMEX",-380.58
2024-12-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2024-12-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2024-12-02,"BRIGHT HORIZONS CHILDCARE",-1245.94
2024-12-03,"SCHNUCKS ST LOUIS",-246.36
2024-12-05,"AMEREN MISSOURI",-130.44
2024-12-06,"SPIRE ENERGY",-156.96
2024-12-07,"MSD WATER SEWER",-89.55
2024-12-08,"AT&T INTERNET",-85.00
2024-12-09,"T-MOBILE",-105.00
2024-12-10,"SCHNUCKS ST LOUIS",-225.18
2024-12-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2024-12-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2024-12-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2024-12-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2024-12-17,"SCHNUCKS ST LOUIS",-184.98
2024-12-20,"MERIDIAN HEALTH BONUS",4200.00
2024-12-24,"SCHNUCKS ST LOUIS",-208.28
2024-12-26,"UPWORK ESCROW",481.77
2024-12-27,"PAYMENT VISA",-499.23
2024-12-27,"PAYMENT AMEX",-321.65
2025-01-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-01-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2025-01-02,"BRIGHT HORIZONS CHILDCARE",-1169.63
2025-01-03,"SCHNUCKS ST LOUIS",-218.83
2025-01-05,"AMEREN MISSOURI",-143.16
2025-01-06,"SPIRE ENERGY",-182.95
2025-01-07,"MSD WATER SEWER",-93.16
2025-01-08,"AT&T INTERNET",-85.00
2025-01-09,"T-MOBILE",-105.00
2025-01-10,"SCHNUCKS ST LOUIS",-187.33
2025-01-14,"UPWORK ESCROW",712.75
2025-01-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-01-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2025-01-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2025-01-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2025-01-17,"SCHNUCKS ST LOUIS",-206.23
2025-01-24,"SCHNUCKS ST LOUIS",-206.54
2025-01-27,"PAYMENT VISA",-314.44
2025-01-27,"PAYMENT AMEX",-582.18
2025-02-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-02-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2025-02-02,"BRIGHT HORIZONS CHILDCARE",-1116.14
2025-02-03,"SCHNUCKS ST LOUIS",-173.50
2025-02-05,"AMEREN MISSOURI",-157.53
2025-02-06,"SPIRE ENERGY",-174.01
2025-02-07,"MSD WATER SEWER",-100.31
2025-02-08,"AT&T INTERNET",-85.00
2025-02-09,"T-MOBILE",-105.00
2025-02-10,"SCHNUCKS ST LOUIS",-169.34
2025-02-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-02-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2025-02-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2025-02-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2025-02-17,"SCHNUCKS ST LOUIS",-173.64
2025-02-20,"UPWORK ESCROW",790.48
2025-02-24,"SCHNUCKS ST LOUIS",-247.33
2025-02-27,"PAYMENT VISA",-319.84
2025-02-27,"PAYMENT AMEX",-433.28
2025-03-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-03-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2025-03-02,"BRIGHT HORIZONS CHILDCARE",-1227.57
2025-03-03,"SCHNUCKS ST LOUIS",-225.29
2025-03-05,"AMEREN MISSOURI",-165.32
2025-03-06,"SPIRE ENERGY",-147.16
2025-03-07,"MSD WATER SEWER",-95.13
2025-03-08,"AT&T INTERNET",-85.00
2025-03-09,"UPWORK ESCROW",573.85
2025-03-09,"T-MOBILE",-105.00
2025-03-10,"SCHNUCKS ST LOUIS",-214.70
2025-03-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-03-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2025-03-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2025-03-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2025-03-17,"SCHNUCKS ST LOUIS",-205.14
2025-03-24,"SCHNUCKS ST LOUIS",-249.51
2025-03-27,"PAYMENT VISA",-487.93
2025-03-27,"PAYMENT AMEX",-323.86
2025-04-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-04-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2025-04-02,"BRIGHT HORIZONS CHILDCARE",-1256.05
2025-04-03,"SCHNUCKS ST LOUIS",-200.47
2025-04-05,"AMEREN MISSOURI",-138.71
2025-04-06,"SPIRE ENERGY",-55.34
2025-04-07,"MSD WATER SEWER",-94.93
2025-04-08,"AT&T INTERNET",-85.00
2025-04-09,"T-MOBILE",-105.00
2025-04-10,"SCHNUCKS ST LOUIS",-173.53
2025-04-12,"ST LOUIS COUNTY PROPERTY TAX",-3850.00
2025-04-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-04-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2025-04-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2025-04-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2025-04-17,"SCHNUCKS ST LOUIS",-241.10
2025-04-24,"SCHNUCKS ST LOUIS",-175.64
2025-04-27,"PAYMENT VISA",-715.02
2025-04-27,"PAYMENT AMEX",-493.27
2025-05-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-05-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2025-05-02,"UPWORK ESCROW",796.75
2025-05-02,"BRIGHT HORIZONS CHILDCARE",-1225.48
2025-05-03,"SCHNUCKS ST LOUIS",-169.33
2025-05-05,"AMEREN MISSOURI",-171.68
2025-05-06,"SPIRE ENERGY",-49.77
2025-05-07,"MSD WATER SEWER",-92.28
2025-05-08,"AT&T INTERNET",-85.00
2025-05-09,"T-MOBILE",-105.00
2025-05-10,"SCHNUCKS ST LOUIS",-243.95
2025-05-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-05-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2025-05-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2025-05-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2025-05-17,"SCHNUCKS ST LOUIS",-219.12
2025-05-24,"SCHNUCKS ST LOUIS",-218.02
2025-05-27,"PAYMENT VISA",-669.15
2025-05-27,"PAYMENT AMEX",-619.54
2025-06-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-06-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2025-06-02,"BRIGHT HORIZONS CHILDCARE",-1240.10
2025-06-03,"SCHNUCKS ST LOUIS",-195.76
2025-06-05,"AMEREN MISSOURI",-208.03
2025-06-06,"SPIRE ENERGY",-61.20
2025-06-07,"MSD WATER SEWER",-90.25
2025-06-08,"AT&T INTERNET",-85.00
2025-06-09,"T-MOBILE",-105.00
2025-06-09,"BJC EMERGENCY SERVICES",-950.00
2025-06-10,"SCHNUCKS ST LOUIS",-181.07
2025-06-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-06-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2025-06-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2025-06-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2025-06-17,"SCHNUCKS ST LOUIS",-172.39
2025-06-19,"UPWORK ESCROW",902.83
2025-06-24,"SCHNUCKS ST LOUIS",-199.04
2025-06-27,"PAYMENT VISA",-630.66
2025-06-27,"PAYMENT AMEX",-478.99
2025-07-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-07-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2025-07-02,"BRIGHT HORIZONS CHILDCARE",-1195.86
2025-07-03,"SCHNUCKS ST LOUIS",-244.96
2025-07-05,"AMEREN MISSOURI",-222.25
2025-07-06,"SPIRE ENERGY",-51.34
2025-07-07,"MSD WATER SEWER",-88.06
2025-07-08,"AT&T INTERNET",-85.00
2025-07-09,"T-MOBILE",-105.00
2025-07-10,"SCHNUCKS ST LOUIS",-216.61
2025-07-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-07-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2025-07-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2025-07-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2025-07-17,"SCHNUCKS ST LOUIS",-239.01
2025-07-24,"SCHNUCKS ST LOUIS",-163.14
2025-07-27,"PAYMENT VISA",-521.93
2025-07-27,"PAYMENT AMEX",-545.98
2025-08-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-08-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2025-08-02,"BRIGHT HORIZONS CHILDCARE",-1204.00
2025-08-03,"SCHNUCKS ST LOUIS",-227.45
2025-08-05,"AMEREN MISSOURI",-249.79
2025-08-06,"SPIRE ENERGY",-49.22
2025-08-07,"MSD WATER SEWER",-92.44
2025-08-08,"AT&T INTERNET",-85.00
2025-08-09,"UPWORK ESCROW",600.14
2025-08-09,"T-MOBILE",-105.00
2025-08-10,"SCHNUCKS ST LOUIS",-245.12
2025-08-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2025-08-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2025-08-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2025-08-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2025-08-17,"SCHNUCKS ST LOUIS",-256.62
2025-08-18,"STATE FARM ANNUAL PREMIUM",-2140.00
2025-08-24,"SCHNUCKS ST LOUIS",-249.77
2025-08-27,"PAYMENT VISA",-706.03
2025-08-27,"PAYMENT AMEX",-2609.72
2025-09-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2025-09-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2025-09-02,"BRIGHT HORIZONS CHILDCARE",-1165.15
2025-09-03,"SCHNUCKS ST LOUIS",-201.49
2025-09-05,"AMEREN MISSOURI",-259.12
2025-09-06,"SPIRE ENERGY",-50.98
2025-09-07,"MSD WATER SEWER",-102.45
2025-09-08,"AT&T INTERNET",-85.00
2025-09-09,"T-MOBILE",-105.00
2025-09-10,"SCHNUCKS ST LOUIS",-244.32
2025-09-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2025-09-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2025-09-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2025-09-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2025-09-17,"SCHNUCKS ST LOUIS",-164.03
2025-09-19,"UPWORK ESCROW",634.19
2025-09-24,"SCHNUCKS ST LOUIS",-195.00
2025-09-27,"PAYMENT VISA",-496.48
2025-09-27,"PAYMENT AMEX",-923.52
2025-10-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2025-10-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2025-10-02,"BRIGHT HORIZONS CHILDCARE",-1247.35
2025-10-03,"SCHNUCKS ST LOUIS",-217.09
2025-10-05,"AMEREN MISSOURI",-137.06
2025-10-06,"SPIRE ENERGY",-58.90
2025-10-07,"MSD WATER SEWER",-97.53
2025-10-08,"AT&T INTERNET",-85.00
2025-10-09,"T-MOBILE",-105.00
2025-10-10,"SCHNUCKS ST LOUIS",-183.21
2025-10-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2025-10-16,"UPWORK ESCROW",570.04
2025-10-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2025-10-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2025-10-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2025-10-17,"SCHNUCKS ST LOUIS",-252.15
2025-10-24,"SCHNUCKS ST LOUIS",-220.14
2025-10-27,"PAYMENT VISA",-474.75
2025-10-27,"PAYMENT AMEX",-545.23
2025-11-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2025-11-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2025-11-02,"BRIGHT HORIZONS CHILDCARE",-1107.13
2025-11-03,"SCHNUCKS ST LOUIS",-226.80
2025-11-05,"AMEREN MISSOURI",-169.43
2025-11-06,"SPIRE ENERGY",-171.80
2025-11-07,"MSD WATER SEWER",-89.55
2025-11-08,"UPWORK ESCROW",440.09
2025-11-08,"AT&T INTERNET",-85.00
2025-11-09,"T-MOBILE",-105.00
2025-11-10,"SCHNUCKS ST LOUIS",-180.42
2025-11-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2025-11-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2025-11-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2025-11-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2025-11-17,"SCHNUCKS ST LOUIS",-254.18
2025-11-24,"SCHNUCKS ST LOUIS",-173.03
2025-11-27,"PAYMENT VISA",-400.98
2025-11-27,"PAYMENT AMEX",-463.07
2025-12-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2025-12-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2025-12-02,"BRIGHT HORIZONS CHILDCARE",-1202.23
2025-12-03,"SCHNUCKS ST LOUIS",-167.33
2025-12-05,"AMEREN MISSOURI",-156.82
2025-12-06,"SPIRE ENERGY",-168.14
2025-12-07,"MSD WATER SEWER",-91.28
2025-12-08,"AT&T INTERNET",-85.00
2025-12-09,"T-MOBILE",-105.00
2025-12-10,"SCHNUCKS ST LOUIS",-229.83
2025-12-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2025-12-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2025-12-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2025-12-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2025-12-17,"UPWORK ESCROW",769.37
2025-12-17,"SCHNUCKS ST LOUIS",-261.56
2025-12-20,"MERIDIAN HEALTH BONUS",4200.00
2025-12-24,"SCHNUCKS ST LOUIS",-177.93
2025-12-27,"PAYMENT VISA",-350.97
2025-12-27,"PAYMENT AMEX",-660.37
2026-01-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2026-01-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2026-01-02,"BRIGHT HORIZONS CHILDCARE",-1226.34
2026-01-03,"SCHNUCKS ST LOUIS",-189.24
2026-01-05,"AMEREN MISSOURI",-165.60
2026-01-06,"SPIRE ENERGY",-143.30
2026-01-07,"MSD WATER SEWER",-90.43
2026-01-08,"AT&T INTERNET",-85.00
2026-01-09,"T-MOBILE",-105.00
2026-01-10,"SCHNUCKS ST LOUIS",-237.45
2026-01-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2026-01-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2026-01-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2026-01-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2026-01-17,"UPWORK ESCROW",850.43
2026-01-17,"SCHNUCKS ST LOUIS",-232.59
2026-01-24,"SCHNUCKS ST LOUIS",-168.40
2026-01-27,"PAYMENT VISA",-510.62
2026-01-27,"PAYMENT AMEX",-840.97
2026-02-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2026-02-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2026-02-02,"BRIGHT HORIZONS CHILDCARE",-1194.24
2026-02-03,"SCHNUCKS ST LOUIS",-224.79
2026-02-05,"AMEREN MISSOURI",-142.91
2026-02-06,"SPIRE ENERGY",-176.17
2026-02-07,"MSD WATER SEWER",-90.37
2026-02-08,"AT&T INTERNET",-85.00
2026-02-09,"T-MOBILE",-105.00
2026-02-10,"SCHNUCKS ST LOUIS",-205.46
2026-02-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2026-02-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2026-02-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2026-02-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2026-02-17,"SCHNUCKS ST LOUIS",-167.20
2026-02-24,"SCHNUCKS ST LOUIS",-187.10
2026-02-27,"PAYMENT VISA",-478.95
2026-02-27,"PAYMENT AMEX",-622.37
2026-03-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2026-03-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2026-03-02,"BRIGHT HORIZONS CHILDCARE",-1189.97
2026-03-03,"SCHNUCKS ST LOUIS",-172.81
2026-03-05,"AMEREN MISSOURI",-158.10
2026-03-06,"SPIRE ENERGY",-141.81
2026-03-07,"MSD WATER SEWER",-95.14
2026-03-08,"AT&T INTERNET",-85.00
2026-03-09,"T-MOBILE",-105.00
2026-03-10,"SCHNUCKS ST LOUIS",-211.55
2026-03-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2026-03-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2026-03-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2026-03-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2026-03-17,"SCHNUCKS ST LOUIS",-253.37
2026-03-24,"SCHNUCKS ST LOUIS",-183.80
2026-03-27,"PAYMENT VISA",-621.24
2026-03-27,"PAYMENT AMEX",-695.25
2026-04-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2026-04-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2026-04-02,"BRIGHT HORIZONS CHILDCARE",-1199.58
2026-04-03,"SCHNUCKS ST LOUIS",-221.86
2026-04-05,"AMEREN MISSOURI",-155.95
2026-04-06,"SPIRE ENERGY",-56.11
2026-04-07,"MSD WATER SEWER",-103.93
2026-04-08,"AT&T INTERNET",-85.00
2026-04-09,"T-MOBILE",-105.00
2026-04-10,"SCHNUCKS ST LOUIS",-197.25
2026-04-12,"ST LOUIS COUNTY PROPERTY TAX",-3850.00
2026-04-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2026-04-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2026-04-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2026-04-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2026-04-17,"SCHNUCKS ST LOUIS",-223.16
2026-04-24,"SCHNUCKS ST LOUIS",-210.61
2026-04-26,"UPWORK ESCROW",600.32
2026-04-27,"PAYMENT VISA",-605.13
2026-04-27,"PAYMENT AMEX",-351.28
2026-05-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2026-05-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2026-05-02,"BRIGHT HORIZONS CHILDCARE",-1179.95
2026-05-03,"SCHNUCKS ST LOUIS",-166.91
2026-05-05,"AMEREN MISSOURI",-133.44
2026-05-06,"SPIRE ENERGY",-59.87
2026-05-07,"MSD WATER SEWER",-86.11
2026-05-08,"AT&T INTERNET",-85.00
2026-05-09,"T-MOBILE",-105.00
2026-05-10,"SCHNUCKS ST LOUIS",-242.88
2026-05-12,"UPWORK ESCROW",357.68
2026-05-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2026-05-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2026-05-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2026-05-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2026-05-17,"SCHNUCKS ST LOUIS",-157.92
2026-05-24,"SCHNUCKS ST LOUIS",-226.35
2026-05-27,"PAYMENT VISA",-410.64
2026-05-27,"PAYMENT AMEX",-253.07
2026-06-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2026-06-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2026-06-02,"BRIGHT HORIZONS CHILDCARE",-1127.82
2026-06-03,"SCHNUCKS ST LOUIS",-251.10
2026-06-05,"AMEREN MISSOURI",-219.38
2026-06-06,"SPIRE ENERGY",-49.70
2026-06-07,"MSD WATER SEWER",-88.72
2026-06-08,"AT&T INTERNET",-85.00
2026-06-09,"T-MOBILE",-105.00
2026-06-10,"SCHNUCKS ST LOUIS",-168.14
2026-06-14,"UPWORK ESCROW",430.34
2026-06-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3604.00
2026-06-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2026-06-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2026-06-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2026-06-17,"SCHNUCKS ST LOUIS",-224.49
2026-06-24,"SCHNUCKS ST LOUIS",-256.14
2026-06-27,"PAYMENT VISA",-720.75
2026-06-27,"PAYMENT AMEX",-765.16
